industry,industry_rank,anchor_store_rank,entity_path,enterprise_id,enterprise_name,store_id,region_name,store_name
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店
火锅,1,2,B市青禾火锅店,enterprise_ref_777598,合成运营主体_777598,store_ref_284829,B市,B市青禾火锅店
火锅,1,3,C市云栖火锅店,enterprise_ref_052074,合成运营主体_052074,store_ref_903801,C市,C市云栖火锅店
火锅,1,4,D市锦澜火锅店,enterprise_ref_052074,合成运营主体_052074,store_ref_322392,D市,D市锦澜火锅店
火锅,1,5,E市南棠火锅店,enterprise_ref_777598,合成运营主体_777598,store_ref_904163,E市,E市南棠火锅店
西餐,2,1,F市北辰西餐店,enterprise_ref_113193,合成运营主体_113193,store_ref_185285,F市,F市北辰西餐店
西餐,2,2,G市晴川西餐店,enterprise_ref_671998,合成运营主体_671998,store_ref_706758,G市,G市晴川西餐店
西餐,2,3,K市明庭西餐店,enterprise_ref_671998,合成运营主体_671998,store_ref_252533,K市,K市明庭西餐店
西餐,2,4,H市新序西餐店,enterprise_ref_671998,合成运营主体_671998,store_ref_874261,H市,H市新序西餐店
西餐,2,5,I市禾里西餐店,enterprise_ref_671998,合成运营主体_671998,store_ref_774663,I市,I市禾里西餐店
商超,3,1,W市兰亭商超门店,enterprise_ref_534022,合成运营主体_534022,store_ref_031747,W市,W市兰亭商超门店
商超,3,2,J市嘉木商超门店,enterprise_ref_184656,合成运营主体_184656,store_ref_624828,J市,J市嘉木商超门店
商超,3,3,X市远岚商超门店,enterprise_ref_184656,合成运营主体_184656,store_ref_260139,X市,X市远岚商超门店
商超,3,4,Y市白鹭商超门店,enterprise_ref_184656,合成运营主体_184656,store_ref_652606,Y市,Y市白鹭商超门店
商超,3,5,Z市枫林商超门店,enterprise_ref_184656,合成运营主体_184656,store_ref_701684,Z市,Z市枫林商超门店
中餐,4,1,L市川野中餐店,enterprise_ref_634361,合成运营主体_634361,store_ref_067256,L市,L市川野中餐店
中餐,4,2,M市澄湾中餐店,enterprise_ref_634361,合成运营主体_634361,store_ref_620145,M市,M市澄湾中餐店
中餐,4,3,N市安和中餐店,enterprise_ref_634361,合成运营主体_634361,store_ref_139821,N市,N市安和中餐店
中餐,4,4,O市望舒中餐店,enterprise_ref_634361,合成运营主体_634361,store_ref_556697,O市,O市望舒中餐店
中餐,4,5,P市启明中餐店,enterprise_ref_634361,合成运营主体_634361,store_ref_844491,P市,P市启明中餐店
咖啡,5,1,Q市清越咖啡店,enterprise_ref_732274,合成运营主体_732274,store_ref_048832,Q市,Q市清越咖啡店
咖啡,5,2,R市长乐咖啡店,enterprise_ref_732274,合成运营主体_732274,store_ref_324811,R市,R市长乐咖啡店
咖啡,5,3,D市晓棠咖啡店,enterprise_ref_732274,合成运营主体_732274,store_ref_809284,D市,D市晓棠咖啡店
咖啡,5,4,S市松间咖啡店,enterprise_ref_732274,合成运营主体_732274,store_ref_803525,S市,S市松间咖啡店
咖啡,5,5,A市和光咖啡店,enterprise_ref_732274,合成运营主体_732274,store_ref_191125,A市,A市和光咖啡店
茶饮,6,1,T市春浦茶饮店,enterprise_ref_224623,合成运营主体_224623,store_ref_832636,T市,T市春浦茶饮店
茶饮,6,2,B市金穗茶饮店,enterprise_ref_100337,合成运营主体_100337,store_ref_696194,B市,B市金穗茶饮店
茶饮,6,3,U市竹里茶饮店,enterprise_ref_585401,合成运营主体_585401,store_ref_764685,U市,U市竹里茶饮店
茶饮,6,4,V市瑞庭茶饮店,enterprise_ref_585401,合成运营主体_585401,store_ref_316140,V市,V市瑞庭茶饮店
茶饮,6,5,C市微澜茶饮店,enterprise_ref_138037,合成运营主体_138037,store_ref_757598,C市,C市微澜茶饮店
