industry,industry_rank,anchor_store_rank,entity_path,business_date,enterprise_id,enterprise_name,store_id,region_name,store_name,bill_id,bill_status_name,bill_payment_status,system_arranged_count,load_arranged_count,bill_amount
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,bill_ref_589850,待同步,10,1374,0,136023.97
火锅,1,2,B市青禾火锅店,2026-05-01,enterprise_ref_777598,合成运营主体_777598,store_ref_284829,B市,B市青禾火锅店,bill_ref_368550,待同步,10,392,0,52941.038624
火锅,1,3,C市云栖火锅店,2026-05-01,enterprise_ref_052074,合成运营主体_052074,store_ref_903801,C市,C市云栖火锅店,bill_ref_996530,待同步,10,16,0,2427.1296
火锅,1,4,D市锦澜火锅店,2026-05-01,enterprise_ref_052074,合成运营主体_052074,store_ref_322392,D市,D市锦澜火锅店,bill_ref_376129,待同步,10,2,0,356.7564224
火锅,1,4,D市锦澜火锅店,2026-05-16,enterprise_ref_052074,合成运营主体_052074,store_ref_322392,D市,D市锦澜火锅店,bill_ref_461203,待同步,10,0,0,0
火锅,1,5,E市南棠火锅店,2026-05-01,enterprise_ref_777598,合成运营主体_777598,store_ref_904163,E市,E市南棠火锅店,bill_ref_721208,待同步,10,314,0,52562.64152
火锅,1,5,E市南棠火锅店,2026-05-16,enterprise_ref_777598,合成运营主体_777598,store_ref_904163,E市,E市南棠火锅店,bill_ref_119282,待同步,10,0,0,0
商超,3,2,J市嘉木商超门店,2026-05-10,enterprise_ref_184656,合成运营主体_184656,store_ref_624828,J市,J市嘉木商超门店,bill_ref_500108,已开票,10,833,0,137925.2814
商超,3,2,J市嘉木商超门店,2026-05-10,enterprise_ref_184656,合成运营主体_184656,store_ref_624828,J市,J市嘉木商超门店,bill_ref_532108,已开票,10,0,0,18149.8394
商超,3,2,J市嘉木商超门店,2026-05-25,enterprise_ref_184656,合成运营主体_184656,store_ref_624828,J市,J市嘉木商超门店,bill_ref_432805,待同步,10,416,0,68136.6834
