industry,industry_rank,anchor_store_rank,entity_path,business_date,enterprise_id,enterprise_name,store_id,region_name,store_name,task_id,job_id,headcount,total_headcount,original_headcount,required_health_card,demand_count,attendance_count,headcount_gap,shortage_group_count
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_991977,job_ref_054021,0,2,2,否,0,0,0,0
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_785663,job_ref_054021,1,1,1,否,0,0,0,0
火锅,1,1,A市星桥火锅店,2026-05-02,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_122155,job_ref_054021,2,2,2,否,0,0,0,0
火锅,1,1,A市星桥火锅店,2026-05-03,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_674000,job_ref_054021,2,2,2,否,0,0,0,0
火锅,1,1,A市星桥火锅店,2026-05-04,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_250826,job_ref_054021,2,2,2,否,0,0,0,0
火锅,1,1,A市星桥火锅店,2026-05-05,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_006841,job_ref_054021,2,2,2,否,0,0,0,0
火锅,1,1,A市星桥火锅店,2026-05-06,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_904069,job_ref_054021,2,2,2,否,0,0,0,0
火锅,1,1,A市星桥火锅店,2026-05-07,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_353094,job_ref_054021,2,2,2,否,0,0,0,0
火锅,1,1,A市星桥火锅店,2026-05-08,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_481339,job_ref_054021,2,2,2,否,0,0,0,0
火锅,1,1,A市星桥火锅店,2026-05-09,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,task_ref_129565,job_ref_054021,2,2,2,否,0,0,0,0
