industry,industry_rank,anchor_store_rank,entity_path,business_date,enterprise_id,enterprise_name,store_id,region_name,store_name,worker_id,worker_name,job_id,job_title,arrange_model,arranged_start_time,arranged_end_time,attendance_start_time,attendance_end_time,is_attendance,is_absent,is_late,reissue_card_count,total_time,execute_status_name,confirm_status_name
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_845999,worker_255443,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:30:00,2026-05-01T09:02:00,2026-05-01T12:35:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_229352,worker_593613,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:00:00,2026-05-01T08:57:00,2026-05-01T12:35:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_452408,worker_934406,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:30:00,2026-05-01T08:58:00,2026-05-01T12:35:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_454294,worker_303996,,,普通排班,2026-05-01T09:00:00,2026-05-01T12:30:00,2026-05-01T08:53:00,2026-05-01T12:16:00,是,否,否,0,3.25,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_025861,worker_974145,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:00:00,2026-05-01T08:48:00,2026-05-01T13:04:00,是,否,否,0,4.0,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_370557,worker_337161,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:00:00,2026-05-01T08:58:00,2026-05-01T12:32:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_879180,worker_031452,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:00:00,2026-05-01T08:49:00,2026-05-01T12:30:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_475120,worker_666798,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:30:00,2026-05-01T08:41:00,2026-05-01T13:32:00,是,否,否,0,4.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_025637,worker_347423,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:30:00,2026-05-01T08:58:00,2026-05-01T12:31:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_750236,worker_811873,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:00:00,2026-05-01T08:54:00,2026-05-01T12:31:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_803489,worker_176143,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:00:00,2026-05-01T08:50:00,2026-05-01T12:32:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_737011,worker_642393,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:30:00,2026-05-01T08:55:00,2026-05-01T13:06:00,是,否,否,0,4.0,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_218223,worker_378526,,,普通排班,2026-05-01T09:00:00,2026-05-01T13:00:00,2026-05-01T08:58:00,2026-05-01T12:33:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_731761,worker_369383,,,普通排班,2026-05-01T09:30:00,2026-05-01T13:30:00,2026-05-01T09:24:00,2026-05-01T13:30:00,是,否,否,0,4.0,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_544621,worker_683928,,,普通排班,2026-05-01T10:00:00,2026-05-01T13:30:00,2026-05-01T10:00:00,2026-05-01T12:35:00,是,否,否,0,2.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_375361,worker_210027,,,普通排班,2026-05-01T10:30:00,2026-05-01T14:00:00,2026-05-01T10:18:00,2026-05-01T14:13:00,是,否,否,0,2.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_934940,worker_413920,,,普通排班,2026-05-01T11:00:00,2026-05-01T14:30:00,2026-05-01T10:55:00,2026-05-01T14:31:00,是,否,否,0,3.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_034547,worker_724240,,,普通排班,2026-05-01T11:00:00,2026-05-01T16:00:00,2026-05-01T10:58:00,2026-05-01T16:01:00,是,否,否,0,4.5,,是
火锅,1,1,A市星桥火锅店,2026-05-01,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_504414,worker_316374,,,普通排班,2026-05-01T11:00:00,2026-05-01T14:30:00,2026-05-01T11:24:00,2026-05-01T14:31:00,是,否,是,0,3.0,,是
