industry,industry_rank,anchor_store_rank,entity_path,enterprise_id,enterprise_name,store_id,region_name,store_name,worker_id,worker_name,worker_gender,worker_age,worker_education,worker_has_health_card,attendance_rows,attended_rows,absent_rows,first_business_date,last_business_date,is_ent_black,is_dept_black,is_white,block_dept_num,remove_black_dept_num
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_099431,worker_798236,女,53.0,初中及以下,是,20,19,1,2026-05-02,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_483124,worker_314214,女,18.0,高中,是,11,9,2,2026-05-03,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_375361,worker_210027,女,18.0,中专/技校,是,16,13,3,2026-05-01,2026-05-29,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_877206,worker_389335,女,21.0,高中,是,53,53,0,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_845999,worker_255443,女,20.0,大专,是,41,37,4,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_229352,worker_593613,男,24.0,初中及以下,是,54,54,0,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_516486,worker_109862,女,22.0,高中,是,53,53,0,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_934940,worker_413920,女,31.0,初中及以下,是,48,47,1,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_172965,worker_830015,男,24.0,大专,是,26,26,0,2026-05-01,2026-05-16,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_452408,worker_934406,男,19.0,高中,是,53,53,0,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_454294,worker_303996,女,18.0,高中,是,43,42,1,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_977601,worker_061666,男,17.0,中专/技校,是,33,32,1,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_025861,worker_974145,女,17.0,高中,是,22,22,0,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_589222,worker_041816,女,51.0,初中及以下,是,33,26,7,2026-05-01,2026-05-31,False,,False,0,0
火锅,1,1,A市星桥火锅店,enterprise_ref_434012,合成运营主体_434012,store_ref_127991,A市,A市星桥火锅店,worker_ref_328186,worker_829863,男,30.0,中专/技校,是,26,26,0,2026-05-01,2026-05-31,False,,False,0,0
